comment,label,predicted_sentiment,score,true_sentiment
CR works very hard for the class.,cr,positive,1,negative
CR helps everyone during exams.,cr,positive,1,negative
CR is very kind and supportive.,cr,positive,2,negative
CR manages everything very well.,cr,positive,2,negative
CR speaks politely with teachers.,cr,neutral,0,negative
CR sometimes forgets important tasks.,cr,negative,-1,negative
CR should be more active in class.,cr,neutral,0,negative
CR gets angry quickly.,cr,negative,-1,negative
CR is doing a great job overall.,cr,positive,3,negative
CR doesn’t listen to students sometimes.,cr,negative,-1,negative
GR always comes late to class.,gr,negative,-1,positive
GR helps others with assignments.,gr,positive,1,positive
GR talks politely and is respectful.,gr,positive,1,positive
GR is very lazy sometimes.,gr,negative,-1,positive
GR studies hard and gets good marks.,gr,positive,3,positive
GR argues with teachers often.,gr,negative,-1,positive
GR is very friendly and helpful.,gr,positive,2,positive
GR doesn’t submit work on time.,gr,negative,-1,positive
GR motivates everyone in the group.,gr,positive,1,positive
GR never completes his tasks properly.,gr,negative,-1,positive
