comment,label
CR works very hard for the class.,cr
CR helps everyone during exams.,cr
CR is very kind and supportive.,cr
CR manages everything very well.,cr
CR speaks politely with teachers.,cr
CR sometimes forgets important tasks.,cr
CR should be more active in class.,cr
CR gets angry quickly.,cr
CR is doing a great job overall.,cr
CR doesn’t listen to students sometimes.,cr
GR always comes late to class.,gr
GR helps others with assignments.,gr
GR talks politely and is respectful.,gr
GR is very lazy sometimes.,gr
GR studies hard and gets good marks.,gr
GR argues with teachers often.,gr
GR is very friendly and helpful.,gr
GR doesn’t submit work on time.,gr
GR motivates everyone in the group.,gr
GR never completes his tasks properly.,gr
